ID,X,Y,File
0,40,40,rssi_RS1
1,92,40,rssi_RS2
2,144,40,rssi_RS3
3,196,40,rssi_RS4
4,248,40,rssi_RS5
5,300,40,rssi_RS6
6,352,40,rssi_RS7
7,404,40,rssi_RS8
8,40,110,rssi_RS9
9,92,110,rssi_RS10
10,144,110,rssi_RS11
11,196,110,rssi_RS12
12,248,110,rssi_RS13
13,300,110,rssi_RS14
14,352,110,rssi_RS15
15,404,110,rssi_RS16
16,40,180,rssi_RS17
17,92,180,rssi_RS18
18,144,180,rssi_RS19
19,196,180,rssi_RS20
20,248,180,rssi_RS21
21,300,180,rssi_RS22
22,352,180,rssi_RS23
23,404,180,rssi_RS24
24,40,250,rssi_RS25
25,92,250,rssi_RS26
26,144,250,rssi_RS27
27,196,250,rssi_RS28
28,248,250,rssi_RS29
29,300,250,rssi_RS30
30,352,250,rssi_RS31
31,404,250,rssi_RS32
32,40,320,rssi_RS33
33,92,320,rssi_RS34
34,144,320,rssi_RS35
35,196,320,rssi_RS36
36,248,320,rssi_RS37
37,300,320,rssi_RS38
38,352,320,rssi_RS39
39,404,320,rssi_RS40
40,40,390,rssi_RS41
41,92,390,rssi_RS42
42,144,390,rssi_RS43
43,196,390,rssi_RS44
44,248,390,rssi_RS45
45,300,390,rssi_RS46
46,352,390,rssi_RS47
47,404,390,rssi_RS48
48,40,460,rssi_RS49
49,92,460,rssi_RS50
50,144,460,rssi_RS51
51,196,460,rssi_RS52
52,248,460,rssi_RS53
53,300,460,rssi_RS54
54,352,460,rssi_RS55
55,404,460,rssi_RS56
