Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-13 14:20:26	RS56	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-68
2025-05-13 14:20:26	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-68
2025-05-13 14:20:26	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-66
2025-05-13 14:20:27	RS56	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-63
2025-05-13 14:20:27	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-65
2025-05-13 14:20:27	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 14:20:28	RS56	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-61
2025-05-13 14:20:29	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-66
2025-05-13 14:20:30	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-57
2025-05-13 14:20:30	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-65
2025-05-13 14:20:31	RS56	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-52
2025-05-13 14:20:32	RS56	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-60
2025-05-13 14:20:33	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-57
2025-05-13 14:20:33	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 14:20:34	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-62
2025-05-13 14:20:34	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 14:20:34	RS56	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-63
2025-05-13 14:20:35	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-64
2025-05-13 14:20:35	RS56	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
2025-05-13 14:20:36	RS56	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-13 14:20:36	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-59
2025-05-13 14:20:36	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-62
2025-05-13 14:20:37	RS56	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
2025-05-13 14:20:38	RS56	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-13 14:20:38	RS56	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-62
